Населенные пункты,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Ставропольский край,1332744.0,1374603.0,1291909.0,1248324.0,1100966.0,882092.0,924923.0,1176500.0,1221979.0,1479118.0,1640389.0
муниципальные округа:,,,,,,,,,,,
Александровский ,3140.0,929.0,2597.0,2626.0,2696.0,3135.0,4511.0,4142.0,5472.0,2735.0,3157.0
Андроповский,1274.0,1412.0,1601.0,1758.0,1257.0,1301.0,1483.0,2643.0,2840.0,1285.0,1590.0
Апанасенковский,2032.0,2674.0,11266.0,5310.0,3539.0,5353.0,4647.0,3626.0,2781.0,1210.0,2612.0
Арзгирский,1511.0,1555.0,1683.0,1788.0,1801.0,1625.0,1652.0,1276.0,1808.0,2168.0,1842.0
Буденновский,9413.0,8102.0,13618.0,5072.0,4933.0,2585.0,1468.0,15671.0,19731.0,12877.0,19490.0
Грачевский ,13805.0,11903.0,9704.0,8000.0,4272.0,1203.0,2608.0,2929.0,5028.0,4803.0,5233.0
Кочубеевский ,13997.0,29550.0,29708.0,27369.0,14119.0,17963.0,16665.0,19710.0,15942.0,20735.0,22618.0
Красногвардейский ,6652.0,5074.0,4117.0,4100.0,3212.0,3510.0,3368.0,2446.0,3697.0,3010.0,2647.0
Курский ,3961.0,5508.0,5973.0,2411.0,5910.0,4676.0,6685.0,12511.0,10323.0,6146.0,8927.0
Левокумский ,2374.0,1717.0,2908.0,2870.0,3063.0,2057.0,2807.0,3629.0,3338.0,2913.0,2793.0
Новоселицкий,2865.0,1320.0,1448.0,1114.0,1088.0,1126.0,1209.0,2687.0,2932.0,2371.0,2640.0
Предгорный,63701.0,59670.0,85152.0,41900.0,34805.0,6678.0,17068.0,46414.0,44842.0,104080.0,115305.0
Степновский,6161.0,3088.0,3297.0,3427.0,2160.0,2278.0,2124.0,1972.0,1841.0,1240.0,1734.0
Труновский,4670.0,4957.0,4700.0,4516.0,5059.0,3602.0,1234.0,1400.0,988.0,3066.0,3726.0
Туркменский,1332.0,288.0,844.0,810.0,699.0,884.0,1051.0,2177.0,1109.0,2536.0,2399.0
Шпаковский,196225.0,155287.0,181076.0,223620.0,192672.0,148850.0,195936.0,221913.0,218964.0,215362.0,236934.0
городские округа:,,,,,,,,,,,
город Ставрополь,584516.0,601779.0,514674.0,523375.0,443410.0,373155.0,332941.0,422892.0,393604.0,514160.0,612076.0
город-курорт Ессентуки,77234.0,87696.0,76310.0,69108.0,89342.0,47578.0,62561.0,85987.0,121517.0,118153.0,123581.0
город-курорт Железноводск,18928.0,36276.0,13857.0,20487.0,12359.0,29096.0,22777.0,22745.0,31110.0,43925.0,60770.0
город-курорт Кисловодск,60300.0,47912.0,34370.0,32323.0,40062.0,41778.0,17397.0,28591.0,77950.0,54831.0,59158.0
город Лермонтов,9046.0,12513.0,9966.0,9006.0,8294.0,10002.0,12947.0,11009.0,8965.0,22622.0,21186.0
город Невинномысск,20446.0,28697.0,45413.0,44224.0,50328.0,14503.0,28427.0,31257.0,35102.0,25090.0,37884.0
город-курорт Пятигорск,66640.0,119695.0,68331.0,75648.0,41574.0,68458.0,71383.0,62915.0,58917.0,155416.0,115199.0
Благодарненский ,7897.0,9066.0,8704.0,7257.0,4882.0,5213.0,7106.0,6555.0,7202.0,4441.0,3148.0
Георгиевский ,34905.0,34682.0,40337.0,29512.0,34470.0,22461.0,25431.0,45042.0,41006.0,39498.0,50328.0
Изобильненский ,17708.0,19402.0,23733.0,14082.0,13461.0,14841.0,16159.0,16344.0,17787.0,18402.0,21314.0
Ипатовский ,3882.0,6384.0,4563.0,3314.0,3947.0,3252.0,889.0,7145.0,5205.0,5965.0,5680.0
Кировский,12428.0,10926.0,13695.0,10259.0,10784.0,9482.0,7626.0,10469.0,10380.0,13503.0,14972.0
Минераловодский,50035.0,29674.0,41502.0,41926.0,47158.0,20046.0,32982.0,43599.0,39405.0,36487.0,46228.0
Нефтекумский ,11508.0,5965.0,8612.0,5187.0,2263.0,3771.0,1817.0,9857.0,9474.0,17893.0,11478.0
Новоалександровский,9158.0,8767.0,13461.0,13021.0,6533.0,3150.0,9446.0,10727.0,5746.0,5853.0,6899.0
Петровский,9451.0,8834.0,8569.0,7335.0,4929.0,4703.0,6982.0,6349.0,7877.0,7760.0,8195.0
Советский,5549.0,13301.0,6120.0,5569.0,5885.0,3777.0,3536.0,9871.0,9096.0,8582.0,8646.0
